ProductName,Brand,Price,DiscountPrice,Quantity,Category,SubCategory,DiscountPercentage
1070,55,180.0,97.0,100.0,6,52,46.1111
1070,55,360.0,192.0,200.0,6,52,46.6667
1070,55,900.0,480.0,500.0,6,52,46.6667
1070,55,1800.0,955.0,1.0,6,52,46.9444
2954,55,50.0,36.0,500.0,6,301,28.0
2954,55,100.0,70.0,1.0,6,301,30.0
6167,806,190.0,177.0,15.0,2,285,6.84211
6166,806,90.0,88.0,7.0,2,285,2.22222
6165,806,400.0,400.0,15.0,2,285,0.0
737,806,570.0,422.0,44.0,2,285,25.9649
738,806,350.0,333.0,27.0,2,285,4.85714
3424,34,309.0,309.0,1.0,4,94,0.0
1778,34,605.0,406.0,2.0,4,94,32.8926
6306,34,160.0,160.0,500.0,4,94,0.0
3426,34,1380.0,1269.6,4.0,4,94,8.0
2335,634,115.0,99.0,1.0,3,186,13.913
2861,634,20.0,16.0,180.0,3,186,20.0
2334,634,230.0,194.04,2.0,3,186,15.6348
2335,634,345.0,291.06,3.0,3,186,15.6348
1071,55,1000.0,545.0,500.0,6,52,45.5
1071,55,200.0,115.0,100.0,6,52,42.5
1071,55,400.0,220.0,200.0,6,52,45.0
1071,55,2000.0,1085.0,1.0,6,52,45.75
2349,294,1570.0,1334.5,6.0,2,291,15.0
2346,294,2150.0,1548.0,10.0,2,291,28.0
2345,294,1649.0,1566.0,8.0,2,291,5.03335
2345,294,1000.0,950.0,4.0,2,291,5.0
2345,294,550.0,522.5,2.0,2,291,5.0
28,325,425.0,318.75,200.0,8,102,25.0
4105,55,139.0,99.0,1.0,6,236,28.777
4105,55,73.0,55.0,500.0,6,236,24.6575
4105,55,33.0,24.0,200.0,6,236,27.2727
4105,55,275.0,199.0,2.0,6,236,27.6364
1889,274,22.4,12.5,250.0,7,149,44.1964
1889,274,89.61,69.0,1.0,7,149,22.9997
6333,55,40.0,26.0,500.0,6,296,35.0
6333,55,80.0,49.0,1.0,6,296,38.75
4119,55,449.0,299.0,2.0,6,236,33.4076
4118,55,999.0,699.0,5.0,6,236,30.03
4119,55,225.0,152.0,1.0,6,236,32.4444
4119,55,115.0,82.0,500.0,6,236,28.6957
4323,55,50.0,36.0,200.0,6,55,28.0
1924,326,310.0,182.38,2.0,8,254,41.1677
19,326,155.0,99.0,500.0,8,254,36.129
2369,274,18.5,14.25,100.0,7,245,22.973
2369,274,46.26,34.5,250.0,7,245,25.4215
2369,274,185.04,138.0,1.0,7,245,25.4215
4526,274,314.29,251.43,500.0,7,89,20.0006
4526,274,133.77,82.0,200.0,7,89,38.7008
1572,275,660.0,419.0,500.0,6,238,36.5152
1569,275,1300.0,729.0,1.0,6,238,43.9231
1569,275,2600.0,1368.0,2.0,6,238,47.3846
339,274,141.56,69.5,1.0,7,197,50.9042
339,274,35.39,17.5,250.0,7,197,50.551
4213,55,1099.0,649.0,500.0,6,237,40.9463
4145,55,898.0,598.0,2.0,6,237,33.4076
4212,55,449.0,299.0,200.0,6,237,33.4076
4212,55,225.0,155.0,100.0,6,237,31.1111
4332,55,90.0,66.0,500.0,6,325,26.6667
6355,55,180.0,129.0,1.0,6,325,28.3333
6355,55,40.0,28.0,200.0,6,325,30.0
600,340,170.0,122.0,200.0,0,13,28.2353
600,340,300.0,219.5,400.0,0,13,26.8333
600,340,95.0,90.25,100.0,0,13,5.0
3326,607,409.0,229.0,5.0,9,73,44.0098
679,274,21.1,12.5,250.0,7,34,40.7583
679,274,42.21,24.5,500.0,7,34,41.9569
679,274,84.42,49.0,1.0,7,34,41.9569
1684,46,630.0,315.01,3.0,2,212,49.9984
1682,46,210.0,147.0,150.0,2,212,30.0
1683,46,640.0,288.01,2.0,2,212,54.9984
1682,46,320.0,176.0,215.0,2,212,45.0
3002,420,340.0,238.0,2.0,2,118,30.0
29,325,675.0,452.25,500.0,8,102,33.0
5787,422,539.0,249.0,1.0,9,73,53.8033
665,194,450.0,321.6,6.0,2,31,28.5333
665,194,600.0,407.36,8.0,2,31,32.1067
665,194,270.0,225.6,6.0,2,31,16.4444
1536,194,45.0,40.0,75.0,2,31,11.1111
2912,194,90.0,76.8,2.0,2,31,14.6667
669,194,300.0,222.44,4.0,2,31,25.8533
2911,194,75.0,67.0,125.0,2,31,10.6667
1932,41,172.0,99.0,300.0,9,73,42.4419
2549,55,150.0,71.0,500.0,6,325,52.6667
4331,55,70.0,30.0,200.0,6,325,57.1429
2549,55,290.0,139.0,1.0,6,325,52.069
4457,51,219.0,149.0,1.0,9,329,31.9635
4125,55,55.0,37.0,500.0,6,243,32.7273
4125,55,110.0,72.0,1.0,6,243,34.5455
4124,55,220.0,144.0,2.0,6,243,34.5455
1292,110,447.0,298.32,3.0,10,64,33.2617
1293,110,149.0,113.0,126.0,10,64,24.1611
1294,110,298.0,212.44,2.0,10,64,28.7114
1561,54,40.0,28.0,100.0,6,331,30.0
1561,54,80.0,55.0,200.0,6,331,31.25
1561,54,200.0,136.0,500.0,6,331,32.0
659,180,112.0,84.0,1.0,6,26,25.0
659,180,560.0,429.0,5.0,6,26,23.3929
4730,608,280.0,182.0,150.0,2,122,35.0
4730,608,210.0,157.5,100.0,2,122,25.0
4730,608,840.0,546.0,3.0,2,122,35.0
4730,608,425.0,276.25,200.0,2,122,35.0
4730,608,115.0,110.0,50.0,2,122,4.34783
4759,339,300.0,228.0,300.0,2,122,24.0
4759,339,130.0,110.0,100.0,2,122,15.3846
2126,339,470.0,308.43,2.0,2,122,34.3766
